NAN  idx chi2        BLNY      Nu_c       Nd_c      au_c      ad_c      bu_c      bd_c      Nu_T      Nd_T      au_T      ad_T      bu_T      bd_T                                   
au_T  4  1386.915544  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.666690  1.794340  0.048195  6.996760
au_T  5  727.214154  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.699205  1.794340  0.048195  6.996760
au_T  6  703.391960  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.677529  1.794340  0.048195  6.996760
au_T  7  555.336876  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.693786  1.794340  0.048195  6.996760
au_T  8  540.311118  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.682948  1.794340  0.048195  6.996760
au_T  9  509.919154  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.691077  1.794340  0.048195  6.996760
au_T  10  502.014600  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.685657  1.794340  0.048195  6.996760
au_T  11  497.498474  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.689722  1.794340  0.048195  6.996760
au_T  12  493.497385  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.687012  1.794340  0.048195  6.996760
au_T  13  493.882089  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.689044  1.794340  0.048195  6.996760
au_T  14  491.876867  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.687690  1.794340  0.048195  6.996760
au_T  15  492.731080  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688706  1.794340  0.048195  6.996760
au_T  16  491.724383  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688028  1.794340  0.048195  6.996760
au_T  17  492.315053  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688536  1.794340  0.048195  6.996760
au_T  18  491.813989  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688198  1.794340  0.048195  6.996760
au_T  19  492.149994  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688452  1.794340  0.048195  6.996760
au_T  20  491.897959  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688282  1.794340  0.048195  6.996760
bd_T  1  2076.804251  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  9.644940
bd_T  2  9238.696652  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  4.348580
bd_T  3  1139.130985  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  8.320850
bd_T  4  2108.434870  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  5.672670
bd_T  5  685.782277  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  7.658810
bd_T  6  842.951412  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.334720
